id,status,owner,nft_name
2M3n2yhdF8qkzE6ndNbcwacA12oPqzrjn5H7RRNagkWn,HODLED,8EkfV23o4KobxYJHUWJAhQKjiJ2zLewGCbdq13423Hvw,
2tZFFTrSz7t875bb7CSciNyKsdcfCuy2mLmVv9YuD2No,HODLED,92PejedtuCgz6iL8smCmEE1fB91qfTZKjDHXwLzv2bar,
4aBnMKByv5o79hzw7UxhxRQQb3oPqVnWo5kds8vVGz2i,HODLED,1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,
4cKUR6DnxZxQsiKNkDQbA3A1gx7hdAmvu6M6gkhqCt8a,HODLED,EKExYCyFcUQFBm9WtJSWV4xawBpEAHRR5tHPxHpbLpmE,
5AUazjVpy4fjSRMTvrqDzEbjaqW8hoUY7tRdj7YsenPG,HODLED,4Nk37hHNqDHwgVbJJ4MhAnig8JbgGxWsAQZkccR13qgs,
5Jez6dTVZ6Ej8SesE5vURKZAAvwyhrmTZNKHQ63DrCx4,BURNED,,
7WWj7HD3y79UHQsdvWZ1Y9NadVwkLVBvu2k5kQ5ZSZhF,HODLED,5Lht14p2V2sQhS5vz3wCnqx5zWBPpEAnUWReAvq3RWfo,
9nZUFFJw9spHLa1oq11mHhxEUNXPUroZYETbDiAXhokv,HODLED,647wucntCdLMWWmZ5v36u9ZhiCbwN1a5QYd5pGTrdeob,
9oEkM1ZnMCoHYg8WfPVUEquDZtTNDKBMHeQaqjH8EDKz,HODLED,6PFMyRnfgTrhB9RXzhPmMv1yZZL4nLRqT9bvwsziRZbT,
AHZ73bjBB1FuJjoEZvu1Gqo1BcwcN5xiXU2UdmMBNSTA,BURNED,AM6X2E93XpEWerfgfZNXE6d9EmJCoAXELqFU4sj5Jz55,
B44JZthg3GoXfvX79x2jHd6BZWuz4fa9Y1Eecti9eWKT,HODLED,8t2L1anJW8h7BHG4eCDwc3KiNxSVU2cACa3FhnA9rXuK,
DLfLLxyBntZwuVvFJdV48TfxF49P3MmvuL7i5NPfJ32k,HODLED,1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,
DsPXXhzXwH9tPxm9virkw5ZSTQ3cK8ARBN5GEjwKbqQV,HODLED,3qCyxUVBnSGE3ptpqMex3kWsgj1e5M6bL6TdKcVH2omJ,
DtdaWmPjFK3ZCgYq4kHrbTvjMWLZowF15hyRiopJ5mCA,HODLED,6chzr4HPnwYtb7qpchALUKvfh5YPyJjnpJFpHGrS2Eyg,
EaqJEjrYgAzMe33ZMyXj8v6hiuV6wuGcG1vAgd1KLhuU,HODLED,2PYGFp7NV3MBMKy4RpN1yVbqAocfZWEA78wVua2sQhae,
3vvQZdsGkzkbfieHySCQpVBNaeSVVPB424B56CXMiPx4,HODLED,7SYNe8fsJt2tnYp1XMZH91GHazJah81nnh2ZCJ4jYTcm,
FCUT5kKFvj8fCYQ6596CyGFeC2x7FN1pArwPmJjvSLLr,BURNED,AM6X2E93XpEWerfgfZNXE6d9EmJCoAXELqFU4sj5Jz55,
FdinzMVLnGKoymiMZxbJAwxvSKeUHUPh9xTSdbsMyfop,HODLED,8b4WNbU3fpu2dnSRuatmPcXRk535bJxYMiPsLtAA4ihk,
Fk7RtBFiPfHNvK89372RAX3oRm6djzewrjbXwZeN6FQR,BURNED,,
FqhSaquKqBx7pSCfVJoYHGuYwFrkgxWS6CKAkY6BfjS1,BURNED,9tACdCcVsXYcbbCDRTirtSjMtCSpri3LpebUFc3DBUKb,
gBsjuYvLKmWB226WbZ4H4HUKv3n7iqnJGDTkfHgzhDR,HODLED,5EKJ5szbF9rdjTvYbVYG2T7XeEGKoEZV4bjXpkqQSJcJ,
GyDDt17YHfkax5ouwcRVLdtUZZs62j2BkH2FeG8Yas8i,HODLED,1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,
H51tnxqebpsap4CVif9igQv3tUWvDjcq24PocqQpFfwF,HODLED,1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,
Hit3o5pE6YSoczs7NiehSApeowU5tJCN1J7NwduY9fAA,HODLED,4XTcTN5NSer76hprw2gS1ejdtB2tD8pLJuW41bpns7kn,
1285U6PBgvtrUdKe3TAoVSJPQJ7Pwfp7xwB6J7ENWPKD,HODLED,CXWr5Hv9Fdfy8uD7pckYQ4LMeiE3U8PCpSrdzZoH5Mgq,
12S1GhHWM2EGjygNuNEW1mZ7BK6qCNDm2GMHzVpumdzg,HODLED,DwFwz2fYKi5UJZvzahVxjURFpuk183UUsrZ3cAt1Bx4Q,
1399dBsHAt4tLM9owqEG44BtvL2wJGBejP3T5PxfXKEE,HODLED,8fdddL8sWGmXeFDpXYk3aCoF3xZbkA5gVg82Kzfa4Cxd,
1r6Lq5511QAeZABUMMcyJr4Q27eAGiyyzCbxQpsAafK,HODLED,4HctiB5CXchhjZrjAS31dBb1atnZCTCXQRfEJA2rsVKi,
23GeeciWhQnYVtUyyYgNjrusvv1Nh38wicUZCam8Q7Qm,HODLED,1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,
27kwTqVXy4U71Ak7JqSUndBRkqDp26KYezbNXbk7MoiH,HODLED,HZcrf6wGhVTG7w5nCojHWyyov5ST9xMeYcjac1imyn6c,
27nEJaVEdyinXenVcBac5YyczBMkvFxQMGsoQVcaSL8D,HODLED,6chzr4HPnwYtb7qpchALUKvfh5YPyJjnpJFpHGrS2Eyg,
2836cuP2nzERWKYe3aPtzHkhoUzK8CecrfeC3yXWuUqG,HODLED,GQkyaWVZ8id2jtEiDnLe4XMnmAe2u4uzBSPSPSdqJtm5,
28gXkXsdh2URaXUcNZT8c2tDAupawpRrGdeLKxHMJZNK,HODLED,8MgP9bbpqJc4z91MDgb71zTMLTkF6SJKkgQ9PS9Rq6bY,
28vFWSe5N7gG9ZStVD1Ff8XYG1T8wBpt7vQ6nG1WbCPX,HODLED,1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,
29MS3wXJANMf1AaBcKyJerijEBw8ZXnzDDANX9F4bovB,HODLED,5iPzZCNqcBokDsMWWZJnSAaajQhVZA7o9tf5JJnQ8Gv2,
29p9L2t3i7nTTcojADVjq6Qwaw46969rA6unACB3i7zb,HODLED,FuckUNZBgutHBUrUFsCYkKzUS3EQAAeAdJQAeeXQVk6F,
2cRB7Ns7D186BGeEvYaXfYye711kFRzELggnv4rY2LgS,HODLED,3sDSqnTdAUr9j7Nn2NZdbcvhL9GWB2DFPiTWRAi3dUdm,
2d9Msjw23bK4WyzLbr4NDaKBPHJx7XfmbExXHjWhnma2,HODLED,4himbhyAL7KzaTHQiGNoqYtNZvBQ25tH6punnqDJzTH4,
2DNhmvbNTTRXtjxKQS8JTK6kfqSFit6wDz6QgEWKLeJe,HODLED,B9GvoKPUokDkpNajgHU9iXZXbwuztncqkcB49Fxv9K1u,
2ehyzaePGZcp8tSLehTcXuJHyMXQiqHaYatxuV4zJ8Vw,HODLED,BjHGKQdudHyVGCgCnebC8VVCjyaTz6889V1WkHxgXLo8,
2fPSmJgEmLGpvdDrB4MiJH69yjVfrGUErMyRymYvZSss,HODLED,GrkxpGr75YCMRXBe38mUJAx3HcXS3etTDTmVDJ9tp6UP,
2grW3vsEw2CE2RET5QZGqz4sXPxkkYx8eGef4vAVhEXM,HODLED,EKExYCyFcUQFBm9WtJSWV4xawBpEAHRR5tHPxHpbLpmE,
2HnMgA75tvsgPFmWAZDnea5bhsA1DqswzUid3ekfRsmA,HODLED,DBwA2hgSGY2FTCohwfDSMN4v446v5yrMK7i3ntHuJdZS,
2hXgksiWgoSwsH35FAaDTYM8ZLcCWA9oGG9jeHXoH4j7,HODLED,7epA6WZrqAqzdcDDsZ1vYfPGsGrzTe1mRVRSWLG73Ae6,
2HYta2oBwT9DJX2XEsc9v5tatrfn2AggBanZCrk6LX29,HODLED,FjPPzNPetzQ7Pzb1bFsJJyxMNfGwga4UWJitTDEjcZCF,
2JD3yQNFcgdhUekCo5msi3TBju6NJ92Z1C95AmEeX28H,HODLED,92PejedtuCgz6iL8smCmEE1fB91qfTZKjDHXwLzv2bar,
2jdK5R7JSocvQmncmDq3eXLXznVyQNZV95GzoX7W9gR9,HODLED,5iNjUBi6ArfuoFC8EA15Wi884EqCH4LwfDvJSEDzLS5h,
2JFemmuiabgjXnsFacnSNWGoyZ394h6Wbr6dPX3HC7tN,HODLED,9MuVVbA5SNBT7TDFzSn53iyxnaMyrWnuLod1aSFw3Tni,
2JTwVL2YLWtCnFU5Da9n8dCmgdKmtrxZfFUFaCvyKNb9,HODLED,1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,
2JZyPU58PmXEnj7F8XQzuLHUdbwmBXfKSuAW9y34DL1s,HODLED,8fRu3NKyJeBEroi2uExhAYxoQa5DvEDwRMfKWN93j1cc,
2m1jHxKktPExaqSKih5NRLJYMEok1bFqdf9Hm71BhWXV,HODLED,4tu9fjczdV1PCe6vj1xt1FzmHdtUpYCvVk4V1muxV1Sq,
2m1KaoYFH3FZ82fP79i25BLhLTPoCq3zNCBGRJRyxyEy,HODLED,EKExYCyFcUQFBm9WtJSWV4xawBpEAHRR5tHPxHpbLpmE,
2M7ZRYvws7ehr66JDsA4agxBXzLsUVMPUvz2b7Qjdr5E,HODLED,36zTGaaNpkUvmGUP2JtbkRCFCcKr9iRD1Hq35aE1JeYp,
2MVBEts9H1dU7BFRstE3QjKdi4oH2NdtfVVntxERtNPE,HODLED,6simnhyU6YRdrmfuPhwBuAz9YwC4MscQjavuSDe6nCjT,
2NsT8J1rHxCjHsTtYJy1Hk3LEx5gGoNfq5a5rUSTkGZd,HODLED,1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,
2nuJ5Bx7CgyAHuD8dcqYWoYgEao4QoeuaBENV3gjaJSV,HODLED,DBwA2hgSGY2FTCohwfDSMN4v446v5yrMK7i3ntHuJdZS,
2oxRd7miXqWH8Du8RnWUPkZpiay1YhH6yM7GYBB8gQVj,HODLED,BdZYTXJhyCJ1C8PL4SCJUbVG21uPPBB9FLgSdymZ2qu3,
2P1DDbyQ46Zh9RdT9exBVuQGaCkLUv5mShEBzutC7KDr,HODLED,73dEZtvHTyHpnmsGN1HYJ5Bj7Dyfuv65EdNsu7Xa8gL5,
2P4Qy44MtL2LYuH4d34wWxQWQ36QNrPwyKJiFsLE83WM,HODLED,,
2pmZVnQXGHu5qzqXKGD3UtyEU6E49a2YaoX5wBYmq6kV,HODLED,2PYGFp7NV3MBMKy4RpN1yVbqAocfZWEA78wVua2sQhae,
2PquyA5ZJwyocGCnobmZRfyYRtuZ8ARompQYeA7iTbvp,HODLED,2BULwGHffhB661MyJCiWtYvoHJGdwcmKYgFrFpMEYL89,
2PrcUWE97whDJvcZhvP2XZNugf4y7ett1fAaHxp9CpVA,HODLED,1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,
2pwYqZBoDpiCFSuodDgC71poYK4dRwb9ds7F82MVPGSK,HODLED,7Q3PX3i4pYWkq4UadXie5jkdkdX6f2UKFxpbVZnzeMr2,
2pzDUjD4oG3VkGzta86XtB64xGDeWb7MqXX1KVDB2uFX,HODLED,EYKe9ntbErQZd9aKKoe9xJqYUVCNVA5tDEqhsbYd5mL8,
2RFxCEerr3rs4wR3dLNPKGPMZc66vFXGgwpDBk2XYcsR,HODLED,78N2UxWCxHRxQSqazHYDJ5v4YTX6sZe9wVDLrgp9oNnj,
2RmmaF13KwuDf7Xon7nfuSQicR6m96cv1R9yj6jnVXsH,HODLED,DHcjTd38bWeYQo3MfSW5dZbFZZbabJXxLJZRRucVsvcN,
2tavaM3UEhEPDCmKDjjug9KVfp1CtSwDBdcK3SBC5KJk,HODLED,2LYM7ivNoM2mGz8kZU4dyLQBXEGRJaEkdhzScbuF6g2n,
2TbhFxhzu7vYsHGfBmBVWvLMxs3xJ3MDaQZppznVWkVB,HODLED,Bc6TNAPUr7fGvWt9ukEcVgy8GsUAb2z4VmExm5DxbCvb,
2TEempRree8W6HDD16Rnyd37ABn3JnEGahzhj1Bfi9pw,HODLED,2xGR3FjqtYJMJqkTeCp7ygPz6PBzWzKKE9W4mUeHu97U,
2THH6EUViN3PDP6EYgrd8evqmM9EKyqSAYYfgifuhLvX,HODLED,6simnhyU6YRdrmfuPhwBuAz9YwC4MscQjavuSDe6nCjT,
