id,nfts,group
DmQnJ1h3dbiWorN7fjkT1e5XcL8p2R5ue5M5WaqRrBfG,GwthPxfZyvZZxB397WK85s6rLGYMBEoQeTjp6HAUmFwF,1
7Q3PX3i4pYWkq4UadXie5jkdkdX6f2UKFxpbVZnzeMr2,2pwYqZBoDpiCFSuodDgC71poYK4dRwb9ds7F82MVPGSK|An91eVz8xjNPr7iGF9d38ahnnnQ6Na4tBhoL945zaxtm|5b23DnNB6AaSWYnW8osmidP8oc3B4RrSgc9KQM4rXEhi|5NpDAQfqHtdUmpg5pnbasXDVuhKh6cgdAVcunDWbBtJL|9hcxxXWdKg2aCwsB3x6aWLL6RXrbnRMWN6jAUMtZso7s|FDbHVGDBX2FJow5tfm4xVpEXDMufRdZ525rSEDy9wesW|7iU7KwpfAXPmUp8nGMKT7RLWmmvH5VBmhvsZLugmyzGR|3DhXWMCsUVVEE1JYh4cnP1X7RESx1pxZXAM2EcoTVcwq|6cQTEqtQhbLaQMiV6hVpgtAmGhEBuEJPKZeSYnVestdS|9QVLzv675yakETvjsUU2VCM2oNEKpFeov9PkgEfS22Qg|GceE5j9eSgzgkVKoESJtDWjPdPBqxMnHnPJtBJTuq2RE|FyoEg32wbaN7cLGcQgBTRCFbfmteHLRDJjEKEUtFhm8L|HHXzf64JA1cbpJcr5YujLnQvzQGN2d3kb4c8bURkAnuU|6xpGvf8PGSePfTVEHnoFAvjWQTV7RwHeu4xSspWboTrM|4L5BDvPkHGBMZ716112Aye7WeBDDCovjedRNGhT4vJHG|3vqbVsq4DuxtQrtdLLdKN7JeV4XBshM6HRStM4tJSD5Y|6oSvZMz4tgaaGwcbcJMg45DdMnGCETYnmGjue6cEAKLH|peHDpVbU27V52hubRnsQX2SRyupgyEL8Syp2AgVgD1p|CXrwmQPwwBQWTJ24sFVXtNcRudxU6bpTzxGeHM2hdCaB|83fsrfBdqUq2xoS6oUvtF8ygjqi1zAYzddkJp3ENvNYY|92GHQBXmFGp2SEpM3d3BMH8qDELRp6761igBE26PQL6d|5xfd3oEKMJZD3mrRdDwcioGpeLcJjoC2CFbnKChvfY2H|CDSVari6Xg4sgoV9VKRBozKXFvrdbJLPKEj1cJqgRdQ4|GwPwghAZuzcVkLBJGz9mNdsk6RLFBprF7otyVefJWsQk|HUZvTctZzaDbsAJHDTM4iaLEUmC1JmJqsCkE8Jban3AU,2
FYZdRSWUgh95A6RaWdLEqgeYcfXCKCKvSFHyXahQhA3i,5eKik754LQN9MZJgykKqTfPkZesycYrdxR4opHsNMEG9,3
6simnhyU6YRdrmfuPhwBuAz9YwC4MscQjavuSDe6nCjT,CLydXFgfH8A1F4jt6LddhCGPN7coiqFcfYmUA6pYEz48|2XRzZyzRYTwUDNkeASzMxtRkZfGgqBkedHL44unUmCZQ|8AFHp8uckADJXrdmQsZ8BFJ8smAFrLq6dgg4k7yRYoro|E8FiEmweRTyybktJVCPHzbZKaWTVw6ib53EfmJpJgWbz|9yxekdgb19CrMMwCLDFAyHP6z9qPthHra68M6vocPnQR|EJHMr8aKZNaxMRqVQfre7ANXBZKHKWiVK7H9WdKJDUdH|ABcwQhdhLYfPPqbwVo97oRLXRW5Rn9u98VWNBtVVQnib|G2pJnUb7xVkTh8WUw8rEdmuATdzq74YJG9rSHWk8kouZ|BpWDCT7aRSjrmrhrbeqPgPeuRzBxEwuLcC7eoCmPo8ck|GaZ1MmT6FivFX6US1ThhnKhPaB4MRUEFqnqm99yWSiL3|9Cj9SS6Jr1gyDkKrhhu5H2nBNoNZPyqBBJf1bzDpEiik|HZr1qyBW77HvgQaHsTeoJ2TTiqrhn1dAMn7x8KWQKiD6|GkXjwpW16N5S76wd42M8bzMsAh9fVoyx4P6MwgJ2QjHp|o2UQtDeX8jskm3YxztAe5RoY14gtSsUwy3WDX5fcTgP|HPGnibhhQ9LJVLCkdR3nUFxnxus2VJBnZnZQKxkTufQr|2MVBEts9H1dU7BFRstE3QjKdi4oH2NdtfVVntxERtNPE|4wqcJrebVtZc3fJggQxWnTT4SyZTZ7B1UBFKYVya1avF|9JpHyUSeFAB7HfhFdSwB4aXGy791SmnqzeJP3ck6nSo6|2THH6EUViN3PDP6EYgrd8evqmM9EKyqSAYYfgifuhLvX|EvQCFydo9UVaDKwqFxShJKAJiiKfj7Nq8nqgVFqM7P2s|CqQhGYCtYgvWU3K5SbPjKaUnXDD37adhSFks98anKZYH|E2Yb8fXVb3KUYQZXmwn5qvV1RtHwBNh27ECWz2QHim4Q|F5pXbmsqkacA5WF17bbD2bS57hQJBVELM6aX5fob61k1|GvS5mMPBeQ8WyuzDkcEDP9eMtDb6w1b5VednjUSeejNA,4
2PYGFp7NV3MBMKy4RpN1yVbqAocfZWEA78wVua2sQhae,EaqJEjrYgAzMe33ZMyXj8v6hiuV6wuGcG1vAgd1KLhuU|EcBFCxSTx2JMsmhepC9kMSecwZRKfVDSKGzm7C2zeJyR|2pmZVnQXGHu5qzqXKGD3UtyEU6E49a2YaoX5wBYmq6kV|GiTLhipyHwyhJXkYCrnkukQhXpbX6Zju5t6U5ZGgo6vW|6rUVnfasvN8zYYU5U4TbEX7Wfb1zqSC11RC14ve2v54c|Ap7Hw3v2hbnmtEfTbs6ua1AEFti3eMaafy9BfBBRggga|8jgpunQs1SvcYEKPDWiHSrG9wHcFw1TLCvD1b88Cdiom|CpNeh4XzeGHiwb1pLy123ktHiuDXsnKCvYz5Hjwo3qZk,5
CvDRhHweLn322NWp9Gf1fmmvmqPB4x7n72NYSKG4BzSX,2VbwEfzAeoyHXWMguxNV869FVA7Dj25kvW5CuL2R6aTw|BPdFTSNox1CcXAeJufeXRB8BMCF9qRnTLFqC1wq1Lbg9|BuW1ErhcfiQAMUgvVUpbpxiENM4p3Smy7oDiWEEsDXWT|EPDwHC8Lr3rXfgJzpaxUuYwb6KHRfMcywVTA1162Zbjt|J5TZ1sA4ieBVPCq61HrjQFon4EfG6zbKAXvrngKUTwn1|CEEGM8zobsTQsEegcsCjJaHVFtyjCofGhZXfV3LvTgnb|G6B3tNe4Zr21cD4EDAq69XNbxhZb4i84CXSsdh5RzXq9|ADXEEtenjbps7FFZTK8VmCZAHGU5wsuCjZzAkLbiacsz|Ei3m8Z7LcMPYCjgujBdxdTUiuk8BXCQgA1XAuWvj1YM2|CMzEe4Bcvr2qjh1UM4jU5izR43Yi1j7rV7Hrgj9iozNX,6
GLcm36ofWR3TMPtEqD7ocDjHuXzC6ft5vg5UgUWgveWn,3szvwU4xKcLYaRL4uZGCAZJjkeaPXsKKzdBEDMQ7Zwyf,7
25sTM7p5J7sg8RsvAPW2xDHjxhQARtnYqG3uRaewsGPF,6zUmPbbeZPjCsdrYQgkyhy71wHs5eV3K9JnRduXnV4aW,7
5iguKsV3TVcekbpNBngC1HkgsxYrryS4YXVJSVyTRrxW,7miD9uUh6RA2jU7xFNzKVKysZT7BSiszDirz1Gp9GXWS,7
CKweHes9jzXcg1wFUGDVR2P7mMv1ERtH73sq8xnYMxVn,8Hmu7yHFQbiunsCbvofhGcPJscah2VcXgU7LVWkpmuYG,7
